Number,Birdseye,Camera
1,"(1277, 812)","(726, 902)"
2,"(1217, 852)","(865, 1010)"
3,"(1267, 888)","(1019, 924)"
4,"(1281, 774)","(584, 881)"
5,"(1224, 815)","(698, 997)"
6,"(1186, 870)","(942, 1065)"
7,"(1211, 890)","(1029, 1016)"
8,"(1239, 907)","(1098, 968)"
9,"(1261, 927)","(1170, 923)"
10,"(1289, 904)","(1087, 886)"
11,"(1323, 883)","(1010, 843)"
12,"(1358, 861)","(946, 807)"
13,"(1307, 791)","(665, 850)"
14,"(1332, 808)","(748, 824)"
15,"(1302, 829)","(805, 869)"
16,"(1299, 866)","(948, 881)"
17,"(1466, 956)","(1231, 677)"
18,"(1442, 971)","(1278, 694)"
19,"(1419, 987)","(1326, 713)"
20,"(1396, 1004)","(1377, 729)"
21,"(1385, 960)","(1403, 614)"
22,"(1406, 945)","(1351, 596)"
23,"(1431, 929)","(1305, 582)"
24,"(1347, 1039)","(1478, 768)"
25,"(1285, 1030)","(1625, 683)"
26,"(1260, 1047)","(1681, 699)"
27,"(1273, 1090)","(1640, 828)"
28,"(1549, 843)","(990, 619)"
29,"(1541, 799)","(960, 606)"
30,"(1674, 944)","(1101, 613)"
31,"(1729, 943)","(1093, 589)"
32,"(1700, 924)","(1061, 601)"
33,"(1645, 928)","(1067, 626)"
34,"(1922, 943)","(1093, 519)"
35,"(1958, 966)","(1123, 512)"
36,"(2478, 1730)","(1641, 501)"
37,"(2016, 873)","(987, 489)"
38,"(1798, 948)","(1104, 562)"
