x,y
4096.6094,1719.3104
3331.2764,2062.9807
4094.875,1716.9636
3333.0457,2063.0903
4103.518,1719.7179
3322.747,2017.3362
4103.033,1719.7162
3327.1345,2019.4271
4099.5283,1722.6573
3284.9126,1940.2705
4099.4663,1722.6416
3289.9658,1942.7142
4099.139,1719.4922
3340.8381,2041.995
4100.188,1719.7888
3339.058,2049.2317
4099.9614,1718.9587
3344.501,2062.6565
4099.787,1718.4569
3341.6023,2058.7263
4095.2693,1703.724
3343.5205,2063.6472
3348.0522,2067.2786
4094.4485,1705.1859
3331.2112,2052.5503
4094.4482,1707.9291
3331.055,2052.2622
4095.2312,1707.8936
3331.2354,2036.347
4094.587,1707.355
3336.2153,2029.1996
4095.8367,1706.9445
3336.5627,2029.4021
4096.142,1707.3878
3334.783,2028.3055
4098.7114,1708.0194
3331.1802,2024.5873
4097.989,1707.2246
3323.4243,2040.6943
4098.3335,1707.1035
3322.8413,2039.3156
4098.4033,1707.1962
3322.5356,2038.8894
4097.7183,1707.0938
3322.3438,2038.6722
4097.042,1707.1951
3321.8977,2038.5905
4096.897,1708.7396
3322.0444,2038.7056
4096.591,1709.0948
3321.4023,2038.607
4097.463,1709.2952
4098.561,1709.4647
3322.0122,2039.1456
4098.2544,1709.0176
3320.0916,2010.9064
4097.472,1707.9071
3319.7507,2010.3157
4097.163,1707.6099
3319.9236,2010.568
4096.292,1707.586
3320.6853,2011.9414
4096.5312,1717.8846
3320.3323,2010.9977
4097.786,1708.9272
3322.3516,2013.0569
4097.2666,1709.1733
3320.8054,2038.9609
4098.8555,1710.2781
3320.3245,2038.7653
4099.3467,1710.7548
3320.2368,2038.6887
4099.455,1711.2601
3319.2861,2037.3083
4098.6694,1710.629
3320.8606,2037.7657
4099.029,1710.912
3320.8516,2037.8693
4099.2983,1711.9818
3320.4854,2037.7872
4099.2007,1711.7611
3320.5664,2038.0283
4099.22,1711.3982
3320.8293,2038.4177
4099.3643,1711.6409
3321.6165,2039.28
4096.358,1720.1919
3320.7695,2038.6053
4096.226,1720.2777
3336.4573,2047.0088
4099.7593,1711.5408
3324.7432,2042.2294
4099.5195,1711.6202
3325.7952,2043.563
4098.935,1711.3611
3338.3162,2048.9048
4097.9097,1711.0381
3337.2263,2047.6711
4097.9263,1711.0483
3337.2188,2047.8112
4098.2896,1711.1622
3326.372,2045.2101
4098.819,1711.0345
3326.383,2045.0468
4098.967,1720.023
3333.5842,2050.8389
4100.3325,1722.2341
3328.7317,2057.4248
4100.1797,1722.0918
3336.9363,2061.0303
4099.8516,1722.3954
3336.6355,2061.2905
4099.9155,1722.8568
3338.763,2051.2031
4099.0938,1721.9742
3339.6765,2049.1616
4099.299,1722.1437
3337.0852,2044.1322
4098.8184,1721.8696
3334.7031,2059.0283
4099.3003,1722.5271
3334.607,2058.9724
4099.279,1722.4731
3334.942,2059.6133
4099.2495,1722.4757
3334.9575,2059.394
4098.686,1721.9437
3335.6277,2060.2334
4098.056,1720.9308
3335.6262,2060.3467
4098.909,1721.691
3335.3247,2059.878
4098.8223,1721.6222
3335.012,2059.3586
4099.202,1723.342
3333.6736,2058.158
4099.513,1723.1721
3333.5015,2057.7844
4099.658,1723.1946
3329.0276,2050.74
4100.0557,1722.9664
3329.1414,2050.8103
4100.104,1722.9884
3328.8337,2050.4934
4100.1084,1722.9775
3328.9587,2050.4949
4100.039,1722.9595
3328.8525,2050.405
4100.512,1723.2511
3328.2744,2049.798
4100.472,1723.1869
3328.3394,2049.8362
4100.4897,1723.2025
3328.5044,2050.1162
4100.4927,1723.2269
3328.6272,2050.413
4100.5107,1723.2468
3328.1067,2049.1492
4100.3657,1722.979
3328.3972,2049.569
4100.102,1723.3081
3328.5002,2050.1912
4100.56,1724.675
3330.2185,2053.5432
4100.655,1724.9292
3335.3752,2054.402
4100.0723,1724.3073
3335.4578,2054.417
4100.505,1724.047
3335.6677,2054.7104
4100.5312,1724.0791
3335.4546,2054.2507
4100.516,1723.2478
3328.6719,2050.495
4100.57,1723.7881
3327.9993,2049.8235
4100.48,1725.1663
3329.206,2053.1267
4100.7344,1725.5813
3334.6953,2056.0144
4100.5674,1723.854
3328.8003,2051.5208
